market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,label_eval_year
KOSDAQ,250,삼천당제약(주),2016,2017,mid_sized,manufacturing,2017
KOSDAQ,250,삼천당제약(주),2017,2018,mid_sized,manufacturing,2018
KOSDAQ,250,삼천당제약(주),2018,2019,mid_sized,manufacturing,2019
KOSDAQ,250,삼천당제약(주),2019,2020,mid_sized,manufacturing,2020
KOSDAQ,250,삼천당제약(주),2020,2021,mid_sized,manufacturing,2021
KOSDAQ,250,삼천당제약(주),2021,2022,mid_sized,manufacturing,2022
KOSDAQ,1540,안국약품(주),2016,2017,mid_sized,manufacturing,2017
KOSDAQ,1540,안국약품(주),2017,2018,mid_sized,manufacturing,2018
KOSDAQ,1540,안국약품(주),2018,2019,mid_sized,manufacturing,2019
KOSDAQ,1540,안국약품(주),2019,2020,mid_sized,manufacturing,2020
KOSDAQ,1540,안국약품(주),2020,2021,mid_sized,manufacturing,2021
KOSDAQ,1540,안국약품(주),2021,2022,mid_sized,manufacturing,2022
KOSDAQ,1840,이화공영(주),2014,2015,small_and_medium,construction,2015
KOSDAQ,1840,이화공영(주),2015,2016,small_and_medium,construction,2016
KOSDAQ,1840,이화공영(주),2016,2017,small_and_medium,construction,2017
KOSDAQ,1840,이화공영(주),2017,2018,small_and_medium,construction,2018
KOSDAQ,1840,이화공영(주),2018,2019,mid_sized,construction,2019
KOSDAQ,1840,이화공영(주),2019,2020,mid_sized,construction,2020
KOSDAQ,1840,이화공영(주),2020,2021,mid_sized,construction,2021
KOSDAQ,1840,이화공영(주),2021,2022,mid_sized,construction,2022
KOSDAQ,2290,(주)삼일기업공사,2016,2017,small_and_medium,construction,2017
KOSDAQ,2290,(주)삼일기업공사,2017,2018,small_and_medium,construction,2018
KOSDAQ,2290,(주)삼일기업공사,2018,2019,small_and_medium,construction,2019
KOSDAQ,2290,(주)삼일기업공사,2019,2020,small_and_medium,construction,2020
KOSDAQ,2290,(주)삼일기업공사,2020,2021,small_and_medium,construction,2021
KOSDAQ,2290,(주)삼일기업공사,2021,2022,small_and_medium,construction,2022
KOSDAQ,3380,(주)하림지주,2020,2021,large,it_services,2021
KOSDAQ,3380,(주)하림지주,2021,2022,large,it_services,2022
KOSDAQ,3800,(주)에이스침대,2017,2018,mid_sized,manufacturing,2018
KOSDAQ,3800,(주)에이스침대,2018,2019,mid_sized,manufacturing,2019
KOSDAQ,3800,(주)에이스침대,2019,2020,mid_sized,manufacturing,2020
KOSDAQ,3800,(주)에이스침대,2020,2021,mid_sized,manufacturing,2021
KOSDAQ,3800,(주)에이스침대,2021,2022,mid_sized,manufacturing,2022
KOSDAQ,5160,동국산업(주),2014,2015,mid_sized,manufacturing,2015
KOSDAQ,5160,동국산업(주),2015,2016,mid_sized,manufacturing,2016
KOSDAQ,5160,동국산업(주),2016,2017,mid_sized,manufacturing,2017
KOSDAQ,5160,동국산업(주),2017,2018,mid_sized,manufacturing,2018
KOSDAQ,5160,동국산업(주),2018,2019,mid_sized,manufacturing,2019
KOSDAQ,5160,동국산업(주),2019,2020,mid_sized,manufacturing,2020
KOSDAQ,5160,동국산업(주),2020,2021,mid_sized,manufacturing,2021
KOSDAQ,5160,동국산업(주),2021,2022,mid_sized,manufacturing,2022
KOSDAQ,6140,(주)피제이전자,2018,2019,mid_sized,manufacturing,2019
KOSDAQ,6140,(주)피제이전자,2019,2020,mid_sized,manufacturing,2020
KOSDAQ,6140,(주)피제이전자,2020,2021,mid_sized,manufacturing,2021
KOSDAQ,6140,(주)피제이전자,2021,2022,mid_sized,manufacturing,2022
KOSDAQ,6620,(주)동구바이오제약,2019,2020,mid_sized,manufacturing,2020
KOSDAQ,7390,(주)네이처셀,2018,2019,small_and_medium,manufacturing,2019
KOSDAQ,7680,(주)대원,2018,2019,mid_sized,construction,2019
KOSDAQ,7680,(주)대원,2020,2021,mid_sized,construction,2021
KOSDAQ,7680,(주)대원,2021,2022,mid_sized,construction,2022
KOSDAQ,7770,한일화학공업(주),2018,2019,small_and_medium,manufacturing,2019
KOSDAQ,7770,한일화학공업(주),2019,2020,small_and_medium,manufacturing,2020
KOSDAQ,7770,한일화학공업(주),2020,2021,small_and_medium,manufacturing,2021
KOSDAQ,7770,한일화학공업(주),2021,2022,mid_sized,manufacturing,2022
KOSDAQ,7820,(주)에스엠코어,2014,2015,small_and_medium,manufacturing,2015
KOSDAQ,7820,(주)에스엠코어,2015,2016,small_and_medium,manufacturing,2016
KOSDAQ,7820,(주)에스엠코어,2016,2017,large,manufacturing,2017
KOSDAQ,7820,(주)에스엠코어,2017,2018,large,manufacturing,2018
KOSDAQ,7820,(주)에스엠코어,2018,2019,large,manufacturing,2019
KOSDAQ,7820,(주)에스엠코어,2019,2020,large,manufacturing,2020
KOSDAQ,7820,(주)에스엠코어,2020,2021,large,manufacturing,2021
KOSDAQ,7820,(주)에스엠코어,2021,2022,large,manufacturing,2022
KOSDAQ,8470,(주)부-스타,2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,9520,(주)포스코엠텍,2015,2016,large,manufacturing,2016
KOSDAQ,9520,(주)포스코엠텍,2016,2017,large,manufacturing,2017
KOSDAQ,9520,(주)포스코엠텍,2017,2018,large,manufacturing,2018
KOSDAQ,9520,(주)포스코엠텍,2018,2019,large,manufacturing,2019
KOSDAQ,9520,(주)포스코엠텍,2019,2020,large,manufacturing,2020
KOSDAQ,9520,(주)포스코엠텍,2020,2021,large,manufacturing,2021
KOSDAQ,9520,(주)포스코엠텍,2021,2022,large,manufacturing,2022
KOSDAQ,9620,삼보산업(주),2020,2021,mid_sized,manufacturing,2021
KOSDAQ,9620,삼보산업(주),2021,2022,mid_sized,manufacturing,2022
KOSDAQ,10170,대한광통신(주),2014,2015,mid_sized,manufacturing,2015
KOSDAQ,10170,대한광통신(주),2016,2017,mid_sized,manufacturing,2017
KOSDAQ,10170,대한광통신(주),2017,2018,small_and_medium,manufacturing,2018
KOSDAQ,10170,대한광통신(주),2018,2019,small_and_medium,manufacturing,2019
KOSDAQ,10170,대한광통신(주),2019,2020,small_and_medium,manufacturing,2020
KOSDAQ,10170,대한광통신(주),2020,2021,small_and_medium,manufacturing,2021
KOSDAQ,10170,대한광통신(주),2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,10240,(주)흥국,2014,2015,small_and_medium,manufacturing,2015
KOSDAQ,10240,(주)흥국,2015,2016,small_and_medium,manufacturing,2016
KOSDAQ,10240,(주)흥국,2016,2017,small_and_medium,manufacturing,2017
KOSDAQ,10240,(주)흥국,2017,2018,small_and_medium,manufacturing,2018
KOSDAQ,10240,(주)흥국,2018,2019,small_and_medium,manufacturing,2019
KOSDAQ,10240,(주)흥국,2019,2020,small_and_medium,manufacturing,2020
KOSDAQ,10240,(주)흥국,2020,2021,small_and_medium,manufacturing,2021
KOSDAQ,10240,(주)흥국,2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,10280,(주)아이티센엔텍,2014,2015,mid_sized,it_services,2015
KOSDAQ,10280,(주)아이티센엔텍,2015,2016,mid_sized,it_services,2016
KOSDAQ,10280,(주)아이티센엔텍,2016,2017,mid_sized,it_services,2017
KOSDAQ,10280,(주)아이티센엔텍,2017,2018,mid_sized,it_services,2018
KOSDAQ,10280,(주)아이티센엔텍,2018,2019,mid_sized,it_services,2019
KOSDAQ,10280,(주)아이티센엔텍,2019,2020,mid_sized,it_services,2020
KOSDAQ,10280,(주)아이티센엔텍,2020,2021,mid_sized,it_services,2021
KOSDAQ,10280,(주)아이티센엔텍,2021,2022,mid_sized,it_services,2022
KOSDAQ,11040,경동제약(주),2017,2018,mid_sized,manufacturing,2018
KOSDAQ,11040,경동제약(주),2018,2019,mid_sized,manufacturing,2019
KOSDAQ,11040,경동제약(주),2019,2020,mid_sized,manufacturing,2020
KOSDAQ,11040,경동제약(주),2020,2021,mid_sized,manufacturing,2021
KOSDAQ,11040,경동제약(주),2021,2022,mid_sized,manufacturing,2022
KOSDAQ,11080,(주)형지아이앤씨,2019,2020,small_and_medium,manufacturing,2020
KOSDAQ,11080,(주)형지아이앤씨,2020,2021,small_and_medium,manufacturing,2021
KOSDAQ,11080,(주)형지아이앤씨,2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,11370,(주)서한,2014,2015,small_and_medium,construction,2015
KOSDAQ,11370,(주)서한,2015,2016,mid_sized,construction,2016
KOSDAQ,11370,(주)서한,2016,2017,mid_sized,construction,2017
KOSDAQ,11370,(주)서한,2017,2018,mid_sized,construction,2018
KOSDAQ,11370,(주)서한,2018,2019,mid_sized,construction,2019
KOSDAQ,11370,(주)서한,2019,2020,mid_sized,construction,2020
KOSDAQ,11370,(주)서한,2020,2021,mid_sized,construction,2021
KOSDAQ,11370,(주)서한,2021,2022,mid_sized,construction,2022
KOSDAQ,11560,(주)세보엠이씨,2018,2019,mid_sized,construction,2019
KOSDAQ,11560,(주)세보엠이씨,2019,2020,mid_sized,construction,2020
KOSDAQ,12340,(주)뉴인텍,2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,12700,(주)리드코프,2014,2015,mid_sized,wholesale_retail,2015
KOSDAQ,12700,(주)리드코프,2015,2016,mid_sized,wholesale_retail,2016
KOSDAQ,12700,(주)리드코프,2016,2017,mid_sized,wholesale_retail,2017
KOSDAQ,12700,(주)리드코프,2017,2018,mid_sized,wholesale_retail,2018
KOSDAQ,12700,(주)리드코프,2018,2019,mid_sized,wholesale_retail,2019
KOSDAQ,12860,(주)모베이스전자,2020,2021,mid_sized,manufacturing,2021
KOSDAQ,12860,(주)모베이스전자,2021,2022,mid_sized,manufacturing,2022
KOSDAQ,13120,(주)동원개발,2015,2016,mid_sized,construction,2016
KOSDAQ,13120,(주)동원개발,2016,2017,mid_sized,construction,2017
KOSDAQ,13120,(주)동원개발,2017,2018,mid_sized,construction,2018
KOSDAQ,13120,(주)동원개발,2018,2019,mid_sized,construction,2019
KOSDAQ,13120,(주)동원개발,2019,2020,mid_sized,construction,2020
KOSDAQ,13120,(주)동원개발,2021,2022,mid_sized,construction,2022
KOSDAQ,13720,더큐브앤(주),2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,13810,(주)스페코,2019,2020,small_and_medium,manufacturing,2020
KOSDAQ,13810,(주)스페코,2020,2021,mid_sized,manufacturing,2021
KOSDAQ,13810,(주)스페코,2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,14190,(주)원익큐브,2018,2019,mid_sized,wholesale_retail,2019
KOSDAQ,14190,(주)원익큐브,2019,2020,mid_sized,wholesale_retail,2020
KOSDAQ,14190,(주)원익큐브,2020,2021,mid_sized,wholesale_retail,2021
KOSDAQ,14190,(주)원익큐브,2021,2022,mid_sized,wholesale_retail,2022
KOSDAQ,14200,(주)광림,2019,2020,small_and_medium,manufacturing,2020
KOSDAQ,14200,(주)광림,2021,2022,mid_sized,manufacturing,2022
KOSDAQ,14970,삼륭물산(주),2020,2021,small_and_medium,manufacturing,2021
KOSDAQ,14970,삼륭물산(주),2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,15710,(주)코콤,2018,2019,small_and_medium,manufacturing,2019
KOSDAQ,15710,(주)코콤,2019,2020,mid_sized,manufacturing,2020
KOSDAQ,15710,(주)코콤,2020,2021,mid_sized,manufacturing,2021
KOSDAQ,15710,(주)코콤,2021,2022,mid_sized,manufacturing,2022
KOSDAQ,15750,(주)성우하이텍,2015,2016,mid_sized,manufacturing,2016
KOSDAQ,15750,(주)성우하이텍,2016,2017,mid_sized,manufacturing,2017
KOSDAQ,16100,(주)리더스코스메틱,2018,2019,small_and_medium,manufacturing,2019
KOSDAQ,16100,(주)리더스코스메틱,2019,2020,mid_sized,manufacturing,2020
KOSDAQ,16100,(주)리더스코스메틱,2020,2021,mid_sized,manufacturing,2021
KOSDAQ,16100,(주)리더스코스메틱,2021,2022,small_and_medium,manufacturing,2022
KOSDAQ,16250,에스지씨이앤씨(주),2016,2017,large,construction,2017
KOSDAQ,16250,에스지씨이앤씨(주),2017,2018,large,construction,2018
KOSDAQ,16250,에스지씨이앤씨(주),2018,2019,large,construction,2019
KOSDAQ,16250,에스지씨이앤씨(주),2019,2020,mid_sized,construction,2020
KOSDAQ,16250,에스지씨이앤씨(주),2020,2021,mid_sized,construction,2021
KOSDAQ,16250,에스지씨이앤씨(주),2021,2022,large,construction,2022
KOSDAQ,17000,신원종합개발(주),2014,2015,small_and_medium,construction,2015
KOSDAQ,17000,신원종합개발(주),2015,2016,small_and_medium,construction,2016
KOSDAQ,17000,신원종합개발(주),2016,2017,small_and_medium,construction,2017
KOSDAQ,17000,신원종합개발(주),2017,2018,small_and_medium,construction,2018
KOSDAQ,17000,신원종합개발(주),2018,2019,small_and_medium,construction,2019
KOSDAQ,17000,신원종합개발(주),2019,2020,small_and_medium,construction,2020
KOSDAQ,17000,신원종합개발(주),2020,2021,small_and_medium,construction,2021
KOSDAQ,17000,신원종합개발(주),2021,2022,mid_sized,construction,2022
KOSDAQ,17480,삼현철강(주),2014,2015,mid_sized,manufacturing,2015
KOSDAQ,17480,삼현철강(주),2015,2016,mid_sized,manufacturing,2016
KOSDAQ,17480,삼현철강(주),2016,2017,mid_sized,manufacturing,2017
KOSDAQ,17480,삼현철강(주),2017,2018,mid_sized,manufacturing,2018
KOSDAQ,17480,삼현철강(주),2018,2019,mid_sized,manufacturing,2019
