listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail,is_speculative
2000,4.459574,1.859573,205113463,0.833698,0.199475,0.034026,-14.545331,0.105946,79073927,197.132419,0.110456,0.118754,0.13249,0.520767,2.54526,0.120536,143.763916,-0.010483,4959429,0.045443,4.320426,1,0,6.043,1.0,0.113173,-0.029403,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,5.536313,2.612166,235143417,0.845257,0.183073,0.022694,-16.982285,0.142932,85288747,134.14271,0.113212,0.112747,0.133938,0.786851,5.365213,0.177709,144.865411,-0.023828,5819783,0.069283,4.427737,1,0,6.229,0.437826,0.146407,0.036986,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,3.703152,1.339735,261158440,0.787887,0.269217,0.035952,-17.616231,0.091228,83197927,66.82732,0.055374,0.059351,0.070282,0.451919,2.666277,0.156502,107.931828,-0.03998,5821314,0.06629,2.887632,1,0,6.168,0.235578,0.110635,-0.051704,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,3.594492,1.333291,290150966,0.769243,0.299979,0.034092,-19.193485,0.105035,110655762,30.863358,0.066577,0.086886,0.086548,0.457075,3.093795,0.164002,37.465717,-0.037923,5977511,0.091264,2.787015,1,0,6.092,0.246597,0.111015,0.013806,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,7.038864,2.491111,317078866,0.812719,0.230438,0.069418,-21.636638,0.044917,93999919,8.650991,0.052292,0.017418,0.064343,0.054725,0.147641,0.019476,5.09033,0.013389,6210656,0.091852,2.809939,1,0,6.282,0.091364,0.092807,-0.060117,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,3.127043,0.909185,343947668,0.727728,0.374139,0.080361,-20.987004,-0.061939,83078214,-8.063605,-0.056837,-0.044463,-0.078103,-0.082298,-0.278833,-0.046074,-4.063661,-0.007716,6340174,0.123961,1.786225,1,0,6.246,0.057154,0.084739,-0.106856,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.39459,0.416355,196267318,0.669224,0.494269,0.059979,-19.141467,0.00766,70386392,4.706478,0.007952,0.021219,0.011882,0.194422,1.072218,0.072539,14.264573,-0.057519,2938212,0.013281,2.680234,1,0,6.043,0.849483,-0.008023,-0.037334,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.281479,0.387731,208065058,0.660623,0.513722,0.051648,-20.077775,0.044621,92176563,12.656235,0.060233,0.05,0.091176,0.247321,1.625132,0.09512,21.246195,-0.04456,3070052,0.012029,2.600106,1,0,6.229,0.930564,0.060111,0.036961,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.85717,0.412381,212923583,0.691416,0.446307,0.049633,-21.575379,0.070947,97786284,21.77651,0.076865,0.072167,0.11117,-0.018282,-0.113662,-0.006467,-1.702298,0.067532,2670023,0.019337,2.826972,1,0,6.168,0.946249,0.023351,0.026325,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.703136,0.404139,217956961,0.680677,0.469125,0.083718,-21.750122,0.013743,77993897,2.335124,0.009982,0.011093,0.014665,0.317223,1.209974,0.141662,21.322944,-0.091469,3262694,0.016421,2.239293,1,0,6.092,0.986469,0.023639,-0.057203,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.494098,0.285778,206983690,0.721919,0.385197,0.096477,-21.913758,-0.009684,84893126,-0.080871,0.003759,-0.000296,0.005207,0.194409,0.560355,0.078052,14.784027,-0.060769,4116560,0.016322,2.490767,1,0,6.282,0.996536,-0.050346,-0.023427,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.227153,0.261424,219955957,0.696869,0.434989,0.089146,-22.504924,0.022892,101018234,-9.278894,0.0173,-0.004929,0.024825,0.02208,0.075079,0.009002,12.600558,0.010327,3875433,0.017612,2.452686,1,0,6.246,0.999579,0.062673,0.032576,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,5.726,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,5.913,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.043,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.229,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.168,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.092,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.282,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.246,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.043,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.229,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
